ID,DJH,ZL,ZDMJ,JianZZDMJ,JianZZMJ,JZMD,JZXG,TuDLYLB,QLR,ShangJGC,XiaJGC,ZongGD,DiEJGD,WaiDMGD,CeLY,CeLRQ,CeLDW,ZhiTY,ZhiTRQ,PZMJ,YSDM,DYBLC,DYZSX,DYZSY,DYFWK,DYFWG,GuiHJJMJ,GuiHJZMJ,QuYBZ,SZB,SZD,SZN,SZX
22,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
23,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
24,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
25,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
26,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
27,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
28,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
29,,测试村测试号地块,0.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
30,233T2026090801,测试网格地块01,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
31,233T2026090802,测试网格地块02,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
32,233T2026090803,测试网格地块03,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
33,233T2026090804,测试网格地块04,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
34,233T2026090805,测试网格地块05,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
35,233T2026090806,测试网格地块06,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
36,233T2026090807,测试网格地块07,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
37,233T2026090808,测试网格地块08,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
38,233T2026090809,测试网格地块09,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
39,233T2026090810,测试网格地块10,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
40,233T2026090811,测试网格地块11,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
41,233T2026090812,测试网格地块12,10000.0,0.0,0.0,0.0,0.0,农村宅基地,测试权利人,0.0,0.0,10.0,10.0,0.0,233,2026-09-08,测试自动化单位,233,2026-09-08,0.0,6001010000,0,0.0,0.0,0.0,0.0,0.0,0.0,0,巷,巷,巷,巷
